State,Period,Visitor Arrival 
Queensland,May 2021,9.85
Queensland,Jun 2021,13.03
Queensland,Jul 2021,5.80
Queensland,Aug 2021,1.85
Queensland,Sep 2021,1.27
Queensland,Oct 2021,1.39
Queensland,Nov 2021,1.32
Queensland,Dec 2021,3.34
Queensland,Jan 2022,5.79
Queensland,Feb 2022,14.86
Queensland,Mar 2022,30.99
Queensland,Apr 2022,44.92
Queensland,May 2022,47.61
Queensland,Jun 2022,63.61
Queensland,Jul 2022,81.88
Queensland,Aug 2022,82.70
Queensland,Sep 2022,86.91
Queensland,Oct 2022,96.97
Queensland,Nov 2022,99.10
Queensland,Dec 2022,120.56
Queensland,Jan 2023,73.69
Queensland,Feb 2023,100.04
Queensland,Mar 2023,111.92
Queensland,Apr 2023,105.73
Queensland,May 2023,104.52
Queensland,Jun 2023,123.70
Queensland,Jul 2023,152.86
Queensland,Aug 2023,141.41
Queensland,Sep 2023,135.03
Queensland,Oct 2023,128.57
Queensland,Nov 2023,128.83
Queensland,Dec 2023,159.27
Queensland,Jan 2024,105.18
Queensland,Feb 2024,139.62
Queensland,Mar 2024,159.50
Queensland,Apr 2024,123.21
Queensland,May 2024,122.91
Queensland,Jun 2024,130.37
Queensland,Jul 2024,171.36
South Australia,Jul 2014,17.50
South Australia,Aug 2014,14.32
South Australia,Sep 2014,15.18
South Australia,Oct 2014,17.47
South Australia,Nov 2014,17.98
South Australia,Dec 2014,27.97
South Australia,Jan 2015,18.48
South Australia,Feb 2015,25.26
South Australia,Mar 2015,21.43
South Australia,Apr 2015,17.51
South Australia,May 2015,12.42
South Australia,Jun 2015,10.27
South Australia,Jul 2015,16.93
South Australia,Aug 2015,13.73
South Australia,Sep 2015,13.79
South Australia,Oct 2015,15.97
South Australia,Nov 2015,17.85
South Australia,Dec 2015,27.09
South Australia,Jan 2016,16.53
South Australia,Feb 2016,22.59
South Australia,Mar 2016,21.54
South Australia,Apr 2016,15.61
South Australia,May 2016,12.29
South Australia,Jun 2016,12.42
South Australia,Jul 2016,19.64
South Australia,Aug 2016,14.39
South Australia,Sep 2016,16.83
South Australia,Oct 2016,17.82
South Australia,Nov 2016,18.31
South Australia,Dec 2016,29.22
South Australia,Jan 2017,20.23
South Australia,Feb 2017,25.05
South Australia,Mar 2017,22.41
South Australia,Apr 2017,17.44
South Australia,May 2017,13.02
South Australia,Jun 2017,14.08
South Australia,Jul 2017,20.69
South Australia,Aug 2017,17.85
South Australia,Sep 2017,20.55
South Australia,Oct 2017,20.19
South Australia,Nov 2017,23.24
South Australia,Dec 2017,32.46
South Australia,Jan 2018,21.91
South Australia,Feb 2018,29.33
South Australia,Mar 2018,25.16
South Australia,Apr 2018,20.24
South Australia,May 2018,15.13
South Australia,Jun 2018,14.88
South Australia,Jul 2018,20.19
South Australia,Aug 2018,18.31
South Australia,Sep 2018,18.62
South Australia,Oct 2018,20.49
South Australia,Nov 2018,24.48
South Australia,Dec 2018,31.49
South Australia,Jan 2019,22.48
South Australia,Feb 2019,30.24
South Australia,Mar 2019,24.70
South Australia,Apr 2019,20.48
South Australia,May 2019,17.54
South Australia,Jun 2019,16.45
South Australia,Jul 2019,21.95
South Australia,Aug 2019,19.45
South Australia,Sep 2019,22.78
South Australia,Oct 2019,23.44
South Australia,Nov 2019,23.32
South Australia,Dec 2019,33.30
South Australia,Jan 2020,24.43
South Australia,Feb 2020,22.07
South Australia,Mar 2020,11.41
South Australia,Apr 2020,0.07
South Australia,May 2020,0.10
South Australia,Jun 2020,0.09
South Australia,Jul 2020,0.10
South Australia,Aug 2020,0.05
South Australia,Sep 2020,0.10
South Australia,Oct 2020,0.18
South Australia,Nov 2020,0.29
South Australia,Dec 2020,0.22
South Australia,Jan 2021,0.26
South Australia,Feb 2021,0.22
South Australia,Mar 2021,0.21
South Australia,Apr 2021,0.65
South Australia,May 2021,0.78
South Australia,Jun 2021,0.78
South Australia,Jul 2021,0.64
South Australia,Aug 2021,0.19
South Australia,Sep 2021,0.23
South Australia,Oct 2021,0.17
South Australia,Nov 2021,0.50
South Australia,Dec 2021,1.58
South Australia,Jan 2022,2.64
South Australia,Feb 2022,4.30
South Australia,Mar 2022,6.72
South Australia,Apr 2022,8.47
South Australia,May 2022,8.33
South Australia,Jun 2022,8.85
South Australia,Jul 2022,10.84
South Australia,Aug 2022,10.39
South Australia,Sep 2022,12.02
South Australia,Oct 2022,14.68
South Australia,Nov 2022,17.14
South Australia,Dec 2022,23.11
South Australia,Jan 2023,15.65
South Australia,Feb 2023,20.92
South Australia,Mar 2023,23.07
South Australia,Apr 2023,18.18
South Australia,May 2023,15.84
South Australia,Jun 2023,15.70
South Australia,Jul 2023,18.49
South Australia,Aug 2023,14.86
South Australia,Sep 2023,16.69
South Australia,Oct 2023,17.55
South Australia,Nov 2023,19.77
South Australia,Dec 2023,25.24
South Australia,Jan 2024,20.68
South Australia,Feb 2024,24.39
South Australia,Mar 2024,22.29
South Australia,Apr 2024,18.40
South Australia,May 2024,15.59
South Australia,Jun 2024,15.35
South Australia,Jul 2024,15.82
Tasmania,Jul 2014,2.21
Tasmania,Aug 2014,2.14
Tasmania,Sep 2014,1.93
Tasmania,Oct 2014,3.80
Tasmania,Nov 2014,6.02
Tasmania,Dec 2014,9.01
Tasmania,Jan 2015,4.96
Tasmania,Feb 2015,7.06
Tasmania,Mar 2015,4.78
Tasmania,Apr 2015,2.95
Tasmania,May 2015,2.40
Tasmania,Jun 2015,2.31
Tasmania,Jul 2015,3.32
Tasmania,Aug 2015,2.64
Tasmania,Sep 2015,2.91
Tasmania,Oct 2015,3.95
Tasmania,Nov 2015,6.06
Tasmania,Dec 2015,9.24
Tasmania,Jan 2016,5.55
Tasmania,Feb 2016,7.61
Tasmania,Mar 2016,5.40
Tasmania,Apr 2016,3.50
Tasmania,May 2016,2.83
Tasmania,Jun 2016,3.16
Tasmania,Jul 2016,4.16
Tasmania,Aug 2016,3.12
Tasmania,Sep 2016,3.31
Tasmania,Oct 2016,4.22
Tasmania,Nov 2016,6.90
Tasmania,Dec 2016,10.76
Tasmania,Jan 2017,7.09
Tasmania,Feb 2017,7.44
Tasmania,Mar 2017,6.02
Tasmania,Apr 2017,4.70
Tasmania,May 2017,3.45
Tasmania,Jun 2017,3.89
Tasmania,Jul 2017,5.43
Tasmania,Aug 2017,4.70
Tasmania,Sep 2017,4.92
Tasmania,Oct 2017,6.33
Tasmania,Nov 2017,8.56
Tasmania,Dec 2017,13.74
Tasmania,Jan 2018,7.81
