State,Year,TemporaryStudentVisaTYpe,Value
Queensland,2006,Other Students,7720
Queensland,2007,Higher Education,30500
Queensland,2007,Vocational Educ. & Training,6170
Queensland,2007,Schools,7680
Queensland,2007,Independent ELICOS(f),8610
Queensland,2007,Postgraduate Research,2100
Queensland,2007,Other Students,7400
Queensland,2008,Higher Education,37820
Queensland,2008,Vocational Educ. & Training,9680
Queensland,2008,Schools,7900
Queensland,2008,Independent ELICOS(f),9150
Queensland,2008,Postgraduate Research,2770
Queensland,2008,Other Students,7360
Queensland,2009,Higher Education,41190
Queensland,2009,Vocational Educ. & Training,17050
Queensland,2009,Schools,8220
Queensland,2009,Independent ELICOS(f),10130
Queensland,2009,Postgraduate Research,3550
Queensland,2009,Other Students,8400
Queensland,2010,Higher Education,43660
Queensland,2010,Vocational Educ. & Training,10430
Queensland,2010,Schools,8580
Queensland,2010,Independent ELICOS(f),8020
Queensland,2010,Postgraduate Research,3720
Queensland,2010,Other Students,7440
Queensland,2011,Higher Education,42440
Queensland,2011,Vocational Educ. & Training,11020
Queensland,2011,Schools,7310
Queensland,2011,Independent ELICOS(f),7170
Queensland,2011,Postgraduate Research,4190
Queensland,2011,Other Students,6710
Queensland,2012,Higher Education,41720
Queensland,2012,Vocational Educ. & Training,10630
Queensland,2012,Schools,6700
Queensland,2012,Independent ELICOS(f),7660
Queensland,2012,Postgraduate Research,5030
Queensland,2012,Other Students,6950
Queensland,2013,Higher Education,44370
Queensland,2013,Vocational Educ. & Training,9240
Queensland,2013,Schools,6440
Queensland,2013,Independent ELICOS(f),8300
Queensland,2013,Postgraduate Research,5380
Queensland,2013,Other Students,9580
Queensland,2014,Higher Education,47480
Queensland,2014,Vocational Educ. & Training,9330
Queensland,2014,Schools,6570
Queensland,2014,Independent ELICOS(f),8430
Queensland,2014,Postgraduate Research,5480
Queensland,2014,Other Students,9770
Queensland,2015,Higher Education,46870
Queensland,2015,Vocational Educ. & Training,11940
Queensland,2015,Schools,7790
Queensland,2015,Independent ELICOS(f),8910
Queensland,2015,Postgraduate Research,5750
Queensland,2015,Other Students,11240
Queensland,2016,Higher Education,50880
Queensland,2016,Vocational Educ. & Training,14070
Queensland,2016,Schools,8730
Queensland,2016,Independent ELICOS(f),9750
Queensland,2016,Postgraduate Research,5830
Queensland,2016,Other Students,9660
Queensland,2017,Higher Education,57330
Queensland,2017,Vocational Educ. & Training,16740
Queensland,2017,Schools,9530
Queensland,2017,Independent ELICOS(f),11690
Queensland,2017,Postgraduate Research,5440
Queensland,2017,Other Students,9440
Queensland,2018,Higher Education,66580
Queensland,2018,Vocational Educ. & Training,19460
Queensland,2018,Schools,10530
Queensland,2018,Independent ELICOS(f),11350
Queensland,2018,Postgraduate Research,6010
Queensland,2018,Other Students,9850
Queensland,2019,Higher Education,71040
Queensland,2019,Vocational Educ. & Training,21500
Queensland,2019,Schools,10330
Queensland,2019,Independent ELICOS(f),12600
Queensland,2019,Postgraduate Research,6330
Queensland,2019,Other Students,8490
Queensland,2020,Higher Education,23830
Queensland,2020,Vocational Educ. & Training,6350
Queensland,2020,Schools,3510
Queensland,2020,Independent ELICOS(f),3080
Queensland,2020,Postgraduate Research,1960
Queensland,2020,Other Students,2870
Queensland,2021,Higher Education,960
Queensland,2021,Vocational Educ. & Training,280
Queensland,2021,Schools,40
Queensland,2021,Independent ELICOS(f),10
Queensland,2021,Postgraduate Research,340
Queensland,2021,Other Students,20
Queensland,2022,Higher Education,29890
Queensland,2022,Vocational Educ. & Training,13420
Queensland,2022,Schools,2470
Queensland,2022,Independent ELICOS(f),11780
Queensland,2022,Postgraduate Research,3430
Queensland,2022,Other Students,3480
Queensland,2023,Higher Education,55910
Queensland,2023,Vocational Educ. & Training,20970
Queensland,2023,Schools,5480
Queensland,2023,Independent ELICOS(f),16960
Queensland,2023,Postgraduate Research,5320
Queensland,2023,Other Students,6720
Queensland,2024,Higher Education,47220
Queensland,2024,Vocational Educ. & Training,11540
Queensland,2024,Schools,5970
Queensland,2024,Independent ELICOS(f),6000
Queensland,2024,Postgraduate Research,3960
Queensland,2024,Other Students,5270
South Australia,2005,Higher Education,8570
South Australia,2005,Vocational Educ. & Training,840
South Australia,2005,Schools,2570
South Australia,2005,Independent ELICOS(f),480
South Australia,2005,Postgraduate Research,1160
South Australia,2005,Other Students,1470
South Australia,2006,Higher Education,10750
South Australia,2006,Vocational Educ. & Training,780
South Australia,2006,Schools,2880
South Australia,2006,Independent ELICOS(f),460
South Australia,2006,Postgraduate Research,780
South Australia,2006,Other Students,1590
South Australia,2007,Higher Education,12060
South Australia,2007,Vocational Educ. & Training,1110
South Australia,2007,Schools,3330
South Australia,2007,Independent ELICOS(f),630
South Australia,2007,Postgraduate Research,790
South Australia,2007,Other Students,1750
South Australia,2008,Higher Education,15440
South Australia,2008,Vocational Educ. & Training,2280
South Australia,2008,Schools,3070
South Australia,2008,Independent ELICOS(f),820
South Australia,2008,Postgraduate Research,820
South Australia,2008,Other Students,1530
South Australia,2009,Higher Education,17110
South Australia,2009,Vocational Educ. & Training,4330
South Australia,2009,Schools,3650
South Australia,2009,Independent ELICOS(f),990
South Australia,2009,Postgraduate Research,960
South Australia,2009,Other Students,1560
South Australia,2010,Higher Education,17100
South Australia,2010,Vocational Educ. & Training,2420
South Australia,2010,Schools,3080
South Australia,2010,Independent ELICOS(f),930
South Australia,2010,Postgraduate Research,1200
South Australia,2010,Other Students,1400
South Australia,2011,Higher Education,16280
South Australia,2011,Vocational Educ. & Training,2700
South Australia,2011,Schools,2660
South Australia,2011,Independent ELICOS(f),670
South Australia,2011,Postgraduate Research,1520
South Australia,2011,Other Students,1500
South Australia,2012,Higher Education,15640
South Australia,2012,Vocational Educ. & Training,2890
South Australia,2012,Schools,2270
South Australia,2012,Independent ELICOS(f),820
South Australia,2012,Postgraduate Research,1640
South Australia,2012,Other Students,1840
South Australia,2013,Higher Education,16790
South Australia,2013,Vocational Educ. & Training,2270
South Australia,2013,Schools,2190
South Australia,2013,Independent ELICOS(f),640
South Australia,2013,Postgraduate Research,1750
South Australia,2013,Other Students,2550
South Australia,2014,Higher Education,18890
South Australia,2014,Vocational Educ. & Training,2240
South Australia,2014,Schools,2200
South Australia,2014,Independent ELICOS(f),700
South Australia,2014,Postgraduate Research,1810
South Australia,2014,Other Students,3090
South Australia,2015,Higher Education,19370
South Australia,2015,Vocational Educ. & Training,2350
South Australia,2015,Schools,2910
South Australia,2015,Independent ELICOS(f),840
South Australia,2015,Postgraduate Research,1670
South Australia,2015,Other Students,3190
South Australia,2016,Higher Education,21210
South Australia,2016,Vocational Educ. & Training,2600
South Australia,2016,Schools,3340
South Australia,2016,Independent ELICOS(f),760
South Australia,2016,Postgraduate Research,1530
South Australia,2016,Other Students,3000
South Australia,2017,Higher Education,23520
South Australia,2017,Vocational Educ. & Training,2320
South Australia,2017,Schools,3750
South Australia,2017,Independent ELICOS(f),680
South Australia,2017,Postgraduate Research,1420
South Australia,2017,Other Students,2260
South Australia,2018,Higher Education,26150
South Australia,2018,Vocational Educ. & Training,2550
South Australia,2018,Schools,4340
South Australia,2018,Independent ELICOS(f),760
South Australia,2018,Postgraduate Research,1530
South Australia,2018,Other Students,1920
South Australia,2019,Higher Education,29200
South Australia,2019,Vocational Educ. & Training,3210
South Australia,2019,Schools,4570
South Australia,2019,Independent ELICOS(f),1160
South Australia,2019,Postgraduate Research,1400
South Australia,2019,Other Students,1680
South Australia,2020,Higher Education,11340
South Australia,2020,Vocational Educ. & Training,1020
South Australia,2020,Schools,1580
South Australia,2020,Independent ELICOS(f),290
South Australia,2020,Postgraduate Research,510
South Australia,2020,Other Students,670
South Australia,2021,Higher Education,940
South Australia,2021,Vocational Educ. & Training,180
South Australia,2021,Schools,40
South Australia,2021,Independent ELICOS(f),10
South Australia,2021,Postgraduate Research,140
South Australia,2021,Other Students,0
South Australia,2022,Higher Education,15690
South Australia,2022,Vocational Educ. & Training,3320
South Australia,2022,Schools,1070
South Australia,2022,Independent ELICOS(f),1690
South Australia,2022,Postgraduate Research,1090
South Australia,2022,Other Students,660
South Australia,2023,Higher Education,25190
South Australia,2023,Vocational Educ. & Training,5000
South Australia,2023,Schools,2000
South Australia,2023,Independent ELICOS(f),2440
South Australia,2023,Postgraduate Research,1560
South Australia,2023,Other Students,900
South Australia,2024,Higher Education,20330
South Australia,2024,Vocational Educ. & Training,2980
South Australia,2024,Schools,2030
South Australia,2024,Independent ELICOS(f),800
South Australia,2024,Postgraduate Research,1300
South Australia,2024,Other Students,950
Tasmania,2005,Higher Education,1660
Tasmania,2005,Vocational Educ. & Training,140
Tasmania,2005,Schools,420
Tasmania,2005,Independent ELICOS(f),160
Tasmania,2005,Postgraduate Research,190
Tasmania,2005,Other Students,210
Tasmania,2006,Higher Education,1910
Tasmania,2006,Vocational Educ. & Training,210
